t,close,high,low,n,open,volume,vw,Signal,Portfolio
2022-01-03 05:00:00+00:00,182.01,182.88,177.71,772699,177.83,112486091,181.395005,,10000.0
2022-01-04 05:00:00+00:00,179.7,182.94,179.12,831898,182.64,106090378,180.596889,,10000.0
2022-01-05 05:00:00+00:00,174.92,180.17,174.64,848518,179.61,95142198,177.382297,HOLD,10000.0
2022-01-06 05:00:00+00:00,172.0,175.3,171.64,960344,172.7,103899632,173.031383,HOLD,10000.0
2022-01-07 05:00:00+00:00,172.17,174.14,171.03,715419,172.89,94554334,172.441994,HOLD,10000.0
2022-01-10 05:00:00+00:00,172.19,172.5,168.17,956342,169.08,117005143,170.377075,HOLD,10000.0
2022-01-11 05:00:00+00:00,175.08,175.18,170.82,649657,172.32,82100070,173.729019,HOLD,10000.0
2022-01-12 05:00:00+00:00,175.53,177.18,174.82,642760,176.12,79502421,175.828866,HOLD,10000.0
2022-01-13 05:00:00+00:00,172.19,176.62,171.79,692346,175.79,92057866,173.88312,HOLD,10000.0
2022-01-14 05:00:00+00:00,173.07,173.78,171.09,671723,171.34,87780214,172.42478,HOLD,10000.0
2022-01-18 05:00:00+00:00,169.8,172.54,169.405,780905,171.51,102183802,170.473157,HOLD,10000.0
2022-01-19 05:00:00+00:00,166.23,171.08,165.94,824027,170.0,101688620,168.242068,HOLD,10000.0
2022-01-20 05:00:00+00:00,164.51,169.68,164.18,795590,166.98,96630645,167.076081,HOLD,10000.0
2022-01-21 05:00:00+00:00,162.41,166.33,162.3,1076049,164.415,135494794,163.800338,HOLD,10000.0
2022-01-24 05:00:00+00:00,161.62,162.3,154.7,1632715,160.02,175317276,158.812862,HOLD,10000.0
2022-01-25 05:00:00+00:00,159.78,162.76,157.02,1008312,158.98,125389277,159.447431,HOLD,10000.0
2022-01-26 05:00:00+00:00,159.69,164.3894,157.82,1017760,163.5,116338085,161.322874,HOLD,10000.0
2022-01-27 05:00:00+00:00,159.22,163.84,158.28,1161009,162.45,127009128,160.793194,HOLD,10000.0
2022-01-28 05:00:00+00:00,170.33,170.35,162.8,1515438,165.71,189144340,167.502693,HOLD,10000.0
2022-01-31 05:00:00+00:00,174.78,175.0,169.51,933488,170.16,129780591,173.376573,HOLD,10000.0
2022-02-01 05:00:00+00:00,174.61,174.84,172.31,735253,174.01,93258667,173.700733,HOLD,10000.0
2022-02-02 05:00:00+00:00,175.84,175.88,173.33,676311,174.745,91306986,174.974152,HOLD,10000.0
2022-02-03 05:00:00+00:00,172.9,176.2399,172.12,724841,174.48,101382628,174.210369,HOLD,10000.0
2022-02-04 05:00:00+00:00,172.39,174.1,170.68,702279,171.68,88456689,172.356275,HOLD,10000.0
2022-02-07 05:00:00+00:00,171.66,173.9458,170.95,571413,172.86,83181695,172.42476,HOLD,10000.0
2022-02-08 05:00:00+00:00,174.83,175.35,171.43,634270,171.73,80979959,173.920662,HOLD,10000.0
